Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
,Antstream Arcade,2024-10-04,,, Online    ,,
,Studio Black Flag,2024-10-02,5,, Indie     ,,
,XR Games,2024-10-01,72,, AR/VR     ,,
,HiRez Studios,2024-10-01,70,Hirez Ventures, Online    ,,
,Sharkmob London,2024-10-01,,Tencent, Console   ,,
,Nexon America,2024-09-30,,Nexon, Publisher ,,
,Merge Games,2024-09-26,,Maximum Entertainment, Publisher ,,
,Mountaintop Studios,2024-09-23,13,, Online    ,,
,Airship Syndicate,2024-09-18,16,, Indie     ,,
,SkyBox Labs,2024-09-18,25,Netease, Online    ,,
,Midwinter Entertainment,2024-09-17,35,Behaviour Interactive, Console   ,,
,Evening Star,2024-09-13,6,, Indie     ,,
,Microsoft Gaming,2024-09-12,650, Microsoft                , Publisher ,,
,Neon Machine,2024-09-12,35,, Indie     ,,
,Midnight Society,2024-09-11,,, Online    ,,
,Lost Boys Interactive,2024-09-06,139, Embracer Group           , Console   ,,
,Tilting Point,2024-09-02,90,, Mobile    ,,
,Ballistic Moon Ltd.,2024-08-30,,, Console   ,,
,Ouka Studios,2024-08-28,,Netease, Console   ,,
,Toadman Interactive,2024-08-28,100, Enad Global 7            , Console   ,,
, Visual Concepts           ,2024-08-23,22, TakeTwo Interactive      , Console   ,,
,CodeName Entertainment,2024-08-16,6,, Indie     ,,
,Ubisoft San Francisco,2024-08-15,45, Ubisoft                  , Console   ,,
,Machine Zone,2024-08-15,,App Lovin, Mobile    ,,
,Archiact,2024-08-12,12,, AR/VR     ,,
,Com2Us,2024-08-09,100,Com2Us, Mobile    ,,
, Ready at Dawn             ,2024-08-08,, Meta                     , AR/VR     ,,
,Jam City,2024-08-02,85, Netmarble                , Mobile    ,,
, probablyMonsters          ,2024-08-01,,, Console   ,,
, Bungie                    ,2024-07-31,220, Sony                     , Console   ,,
,Lively Studio,2024-07-29,,Keywords Studios, Mobile    ,,
,Humble Games,2024-07-23,36,Ziff Davis, Publisher ,,
,NetherRealm Studios,2024-07-17,50,Warner Brothers, Console   ,,
,Rumble Games,2024-07-12,35,, Mobile    ,,
,Splash Damage,2024-07-11,,Splash Damage Group Limited, Console   ,,
,Wicked Games AG.,2024-07-03,15,, Indie     ,,
